# https://efahrer.chip.de/, Stand: 19.12.2022
Modell,Reichweite,Leistung,Listenpreis
Opel Rocks-e,75,8,7990
Renault Twizy Life (2-Sitzer),100,12,11450
VW e-up!(2020),260,8,21421
Dacia Spring,230,45,22550
Renault Zoe R90,316,92,27000
Fiat 500,180,95,30990
Hyundai Kona Elektro (9.2 kWh),305,136,36400
VW ID.4 Pure,345,170,37415
BMW i3,309,170,39900
Polestar 2 Standard Range Single Motor,444,224,47425
Volvo XC 40 Recharge,418,406,48650
Audi Q4 40 e-tron Sportback,520,204,53900
Tesla Model  Standard,491,25,54270
