# ungefähr 20 % der Original-Daten 
# Quelle: https://www.kaggle.com/datasets/wspirat/poland-used-cars-offers/data
# nachbearbeitet
Marke,Modell,Preis [Zloty],Kilometerstand [km],Getriebe,Hubraum [cm3],Kraftstoff,Stadt,Region,Jahr,Alter
nissan,Nissan Qashqai,39600.0,234400,Schaltwagen,1461.0,Diesel,Gorzów Wielkopolski,Lubuskie,2012,12
alfa-romeo,Alfa Romeo Giulietta,56900.0,200000,Automatik,2387.0,Diesel,Alwernia,Małopolskie,2010,14
opel,Opel Insignia 2.0 CDTI automatik Innovation,44999.0,179500,Automatik,1598.0,Diesel,Gniezno,Wielkopolskie,2017,7
volkswagen,Volkswagen Golf,30000.0,198000,Schaltwagen,1968.0,Diesel,Łódź,Łódzkie,2012,12
mercedes-benz,Mercedes-Benz Klasa C 180,219900.0,29800,Automatik,2999.0,Benzin,Białystok,Podlaskie,2020,4
kia,Kia Asia Rocsta 2.2 D,11500.0,120000,Schaltwagen,1498.0,Benzin+LPG,Szczecin,Zachodniopomorskie,1998,26
mazda,Mazda 3 2.0 mHEV Kanjo,109900.0,35399,Schaltwagen,1998.0,Benzin,Gdańsk,Pomorskie,2020,4
seat,Seat Leon 1.2 TSI Full LED S&S,52900.0,135000,Schaltwagen,1395.0,Benzin,Chorzów,Śląskie,2015,9
jeep,Jeep Grand Cherokee Gr 5.2 Limited,8900.0,239000,Automatik,5210.0,Benzin+LPG,Stromiec,Mazowieckie,1995,29
isuzu,Isuzu D-Max,91900.0,72700,Automatik,1898.0,Diesel,Piaseczno,Mazowieckie,2018,6
mercedes-benz,Mercedes-Benz Klasa V 250 d 4-Matic Avantgarde 9G-Tronic (ekstra d³),389906.0,10,Automatik,1332.0,Benzin,Płock,Mazowieckie,2023,1
mercedes-benz,Mercedes-Benz Klasa E,24900.0,82000,Automatik,5439.0,Benzin,Kłodzko,Dolnośląskie,2004,20
hyundai,Hyundai Bayon 1.0 T-GDI Modern,84100.0,3994,Schaltwagen,998.0,Benzin,Warszawa,Mazowieckie,2022,2
mercedes-benz,Mercedes-Benz GLC 220 d 4-Matic,159900.0,63460,Automatik,1950.0,Diesel,Ociąż,Wielkopolskie,2019,5
honda,Honda Civic 1.8 TypeS,24900.0,267000,Schaltwagen,2204.0,Diesel,Łódź,Łódzkie,2007,17
isuzu,Isuzu D-Max 1.9 EC LS+,115999.0,5000,Automatik,1898.0,Diesel,Błonie,Mazowieckie,2019,5
volkswagen,Volkswagen T-Roc,153749.0,1,Automatik,1498.0,Benzin,Słupsk,Pomorskie,2023,1
nissan,Nissan Qashqai 2.0 4x4 I-Way CVT,26500.0,178000,Automatik,1997.0,Benzin,Tczew,Pomorskie,2007,17
dodge,Dodge Journey 2.0 CRD SE,23900.0,282000,Schaltwagen,1798.0,Benzin+LPG,Zawiercie,Śląskie,2009,15
mitsubishi,Mitsubishi Outlander,99000.0,68900,Automatik,1499.0,Benzin,Żory,Śląskie,2018,6
mercedes-benz,Mercedes-Benz Klasa G 500,122500.0,1,Automatik,1332.0,Benzin,Brno,Jihomoravský kraj,2023,1
hyundai,Hyundai Tucson 1.6 T-GDi Smart 2WD,136300.0,2055,Schaltwagen,998.0,Benzin,Warszawa,Mazowieckie,2022,2
mercedes-benz,Mercedes-Benz CL,97699.0,250000,Automatik,3222.0,Diesel,Zielona Góra,Lubuskie,2005,19
nissan,Nissan Juke,31900.0,189316,Schaltwagen,1461.0,Diesel,Gniezno,Wielkopolskie,2014,10
mercedes-benz,Mercedes-Benz ML 280 CDI 4-Matic,35500.0,247000,Automatik,2987.0,Diesel,Nowy Dwór Gdański,Pomorskie,2007,17
opel,Opel Astra,12500.0,218000,Schaltwagen,1199.0,Benzin,Szczecin,Zachodniopomorskie,2000,24
volvo,Volvo V70,6350.0,217000,Schaltwagen,1984.0,Benzin,Gubin,Lubuskie,1997,27
volkswagen,Volkswagen Polo,24900.0,324000,Schaltwagen,1968.0,Diesel,Orzesze,Śląskie,2010,14
