year,number
2021,90850
2020,70508
2019,59437
2018,35669
2017,23425
2016,17467
2015,13628
2014,11145
2013,9310
2012,7940
2011,7214
2010,6573
2009,6163
2008,5957
2007,4556
2006,4071
2005,3416
2004,2419
2003,1725
2002,1347
2001,1101
2000,903
1999,689
1998,719
1997,680
1996,592
1995,568
1994,542
1993,597
1992,432
1991,329
1990,246
1989,213
1988,207
1987,114
1986,120
1985,83
1984,92
1983,47
1982,34
1981,24
1980,31
1979,31
1978,37
1977,35
1976,39
1975,40
1974,37
1973,27
1972,37
1971,27
1970,44
1969,67
1968,29
1967,20
1966,9
1965,12
1964,12
1963,13
1962,14
1961,19
1960,8
1959,8
1958,5
1957,2
1956,3
1955,3
1954,1
1953,0
1952,1
1951,0
1950,1
1949,2
1948,0
1947,0
1946,0
1945,0
1944,0
1943,1
1942,0
1941,0
1940,0
1939,1
1938,2
1937,1
1936,1
1935,1
1934,1
1933,0
1932,0
1931,1
1930,1
1929,0
1928,0
1927,0
1926,0
1925,0
1924,0
1923,0
1922,1
1921,0
1920,0
1919,0
1918,0
1917,0
1916,0
1915,0
1914,0
1913,1
