Marke,Modell,Farbe,Erstzulassung,Jahr,Preis (Euro),Leistung (kW),Leistung (PS),Getriebe,Kraftstoff,Verbrauch (l/100 km),Verbrauch (g/km),Kilometerstand (km),Bemerkungen
volkswagen,Volkswagen Golf Plus,beige,10/2010,2010,6400,90,122,Schaltgetriebe,Benzin,6.5,152.0,110700.0,1.4 TSI Comfortline
volkswagen,Volkswagen Polo,beige,11/2010,2010,9980,77,105,Automatik,Benzin,5.5,128.0,78000.0,V 1.2 TSI CrossPolo Climatronic-
volkswagen,Volkswagen Passat Variant,beige,10/2010,2010,12999,125,170,Automatik,Diesel,5.2,135.0,159500.0,2.0 TDI DSG Highline+Pano+AHK
volkswagen,Volkswagen Polo,beige,11/2010,2010,9980,77,105,Automatik,Benzin,5.5,128.0,78000.0,V 1.2 TSI CrossPolo Climatronic-E Fenster
volkswagen,Volkswagen T5 Multivan,beige,10/2010,2010,20490,132,179,Automatik,Diesel,8.8,232.0,238000.0,"PanAmericana 4motion""ATM.107.000km"""
volkswagen,Volkswagen Touareg,blau,06/2010,2010,15950,250,340,Automatik,Diesel,9.1,239.0,199980.0,Touareg 4.2 V8 TDI*NAVI*XENON*SHZ*AHK*PDC*ALU*
volkswagen,Volkswagen Golf,blau,08/2010,2010,5390,77,105,Schaltgetriebe,Diesel,4.2,109.0,199000.0,VI Variant Trendline BlueMotion Navi SHZ Te
volkswagen,Volkswagen Golf,blau,05/2010,2010,8999,90,122,Schaltgetriebe,Benzin,6.2,144.0,118000.0,VI Team*BiXENON*NAVI*SHZ*BLUETOOTH*AHZV*PDC
volkswagen,Volkswagen Polo,blau,02/2010,2010,5580,44,60,Schaltgetriebe,Benzin,5.5,128.0,118000.0,Trendline-Checkheft-St.KetteNEU*12Mon.Garantie*
volkswagen,Volkswagen Sharan,blau,02/2010,2010,3990,85,116,Schaltgetriebe,Benzin,9.7,233.0,232912.0,Trendline LPG
volkswagen,Volkswagen Golf,blau,07/2010,2010,7990,77,105,Automatik,Benzin,5.8,134.0,170819.0,"1,2 TSI*NAVI*DSG*Parkassyst*GRA*AHK*Team"
